episode,reward,time_seconds,steps
1,-183.73182434180117,82,82
2,-93.24962772516342,58,58
3,-146.37921038480386,83,83
4,-94.53058137397028,68,68
5,-57.43995569483549,73,73
6,-239.79003318426845,80,80
7,-151.55150321524923,75,75
8,-112.61496963786784,59,59
9,-376.38141172558045,102,102
10,-384.2440084343157,96,96
11,-176.9131114222431,81,81
12,-122.88954944243238,75,75
13,-120.07265692644057,78,78
14,-55.64312644409534,70,70
15,-263.75795097262255,108,108
16,-92.86228062683783,107,107
17,-88.22627399120849,91,91
18,-97.12063317194345,121,121
19,-98.95823158019637,75,75
20,-70.89610717589872,117,117
21,-329.2766214215088,90,90
22,-193.2368312744352,90,90
23,-373.7452192192249,109,109
24,-222.8208499103883,72,72
25,-567.2017480521349,87,87
26,-128.17153641869552,72,72
27,-80.31925216957691,88,88
28,-127.9029023202168,119,119
29,-129.35881481579705,129,129
30,-129.07488732914786,144,144
31,-71.91337286004081,60,60
32,-150.16300416165024,110,110
33,-91.48126905955993,115,115
34,-84.6133214267075,73,73
35,-219.70664173606968,77,77
36,-66.94055871517045,56,56
37,-221.18129592876204,109,109
38,-95.56925963751854,98,98
39,-103.86846392451002,76,76
40,-126.89672381515055,110,110
41,-264.8656771270246,103,103
42,-116.8781880571131,69,69
43,-175.51298310300677,138,138
44,-213.91388675470114,113,113
45,-130.68091580045623,109,109
46,-26.59388647531827,105,105
47,-107.34614439418658,111,111
48,-346.17052032425136,93,93
49,8.566766098309756,95,95
50,-367.84145515151073,111,111
51,-110.63691763310965,80,80
52,-181.8155067122852,52,52
53,-109.50274887743994,76,76
54,-139.84707630678056,74,74
55,-369.90693778908974,78,78
56,-133.62759185532354,92,92
57,-182.17996411739293,67,67
58,-189.4607206503083,121,121
59,-357.45436640213705,115,115
60,-369.868700178669,87,87
61,-88.65983738308194,94,94
62,-238.84535291606284,95,95
63,-135.8090834450801,63,63
64,-172.27073521028987,84,84
65,-199.80024104617075,113,113
66,-153.1250261959218,68,68
67,-139.99264234430814,118,118
68,-97.952121790657,88,88
69,-49.05686308012635,110,110
70,-99.22535051631522,65,65
71,-218.82323413707715,65,65
72,-286.0186577092768,96,96
73,-133.47856090973693,118,118
74,-87.92802721329147,69,69
75,-248.78294071824828,108,108
76,-371.7408973185627,86,86
77,-132.01964371077264,91,91
78,-400.51825811271686,112,112
79,-333.0402825244256,115,115
80,-123.98948540594526,86,86
81,-224.58219245474015,86,86
82,-445.9821326085518,112,112
83,-78.25503722256207,74,74
84,-349.8211866897651,132,132
85,-72.74860697262821,71,71
86,-124.12784084654558,103,103
87,-48.88413225008708,63,63
88,-132.49295038134576,81,81
89,-130.3117933613417,100,100
90,-80.34789195758414,69,69
91,-83.54429198919303,73,73
92,-80.96516812196637,78,78
93,-89.60678031416933,94,94
94,-60.32751573689764,111,111
95,-318.74271477591566,100,100
96,-157.23037473719734,103,103
97,-181.26670400238186,72,72
98,-91.84712199923291,87,87
99,-93.8419050607964,74,74
100,-414.89527845670676,143,143
101,-101.41500672748852,72,72
102,-217.31612393668985,156,156
103,-168.16939592098026,117,117
104,-109.10785186209701,112,112
105,-68.23372227794547,91,91
106,-86.02608703675729,62,62
107,-92.37601577610431,67,67
108,-146.46331561141284,73,73
109,-185.49173881031106,57,57
110,-101.05048325484725,107,107
111,-310.2168365700718,103,103
112,-110.19464176308811,99,99
113,-176.7723142755358,79,79
114,-55.735561214052694,85,85
115,-106.96628540657728,77,77
116,-125.8941853646865,90,90
117,-129.71931342095888,125,125
118,-108.32764807382951,73,73
119,-128.72111377510322,70,70
120,-115.46068261472499,69,69
121,-147.0492172276704,84,84
122,-104.62055350044386,76,76
123,-221.17584237330695,107,107
124,-30.834165674905677,80,80
125,-71.648631272433,76,76
126,-118.82832052746127,118,118
127,-45.43823281208718,90,90
128,-114.4293911878571,84,84
129,-120.93393057849778,88,88
130,-69.60083220695515,66,66
131,-323.1690860087823,146,146
132,-78.55762710414673,63,63
133,-232.87780515503823,91,91
134,-199.60238506059775,103,103
135,-463.1383096115594,113,113
136,-168.85972909892763,69,69
137,-127.55714366788797,74,74
138,-80.49084364115765,78,78
139,-176.02423955347885,99,99
140,-116.41362713638716,83,83
141,-210.12124000592775,115,115
142,-83.50891053533496,62,62
143,-138.8640872530122,131,131
144,-188.57168005418993,153,153
145,-127.18972137813671,99,99
146,-95.62114751805916,93,93
147,-156.67566205250287,75,75
148,-114.6085596305808,105,105
149,-131.27871163394582,113,113
150,-193.18245355450028,61,61
151,-139.01311320130418,67,67
152,-70.71857233486674,59,59
153,-25.56063717813406,91,91
154,-316.47131951307404,117,117
155,-103.68862278627428,107,107
156,-190.52656929416804,72,72
157,-93.57306871425921,91,91
158,-131.781974003355,82,82
159,-217.95780737727537,102,102
160,-53.010220472829815,82,82
161,-96.14858347464066,99,99
162,-150.48883106953772,77,77
163,-236.08497590619905,79,79
164,-311.1042727452816,140,140
165,-219.9296969242328,89,89
166,-77.48684760429768,62,62
167,-96.2779713828442,67,67
168,-125.6185599651058,118,118
169,-113.06659357512166,92,92
170,-102.06892957120509,81,81
171,-139.8676701081835,67,67
172,2.235263996776723,154,154
173,-99.3019847485604,79,79
174,-90.75135071648565,59,59
175,-108.15858637041738,73,73
176,-101.69607003143483,70,70
177,-108.29295932131993,84,84
178,-112.53422808035187,80,80
179,-149.69311991630914,118,118
180,-91.48319622449696,97,97
181,-94.81662895942077,110,110
182,-49.04386000056107,69,69
183,-95.07460624419112,79,79
184,-39.73279309063648,97,97
185,-82.55678897476389,95,95
186,-170.7242721085811,82,82
187,-98.36874044249022,68,68
188,-252.8967453683089,137,137
189,-306.7777282278135,116,116
190,-180.68621116161376,68,68
191,-162.8381192287922,125,125
192,-483.6175624186294,98,98
193,-169.21791720335187,123,123
194,-183.72327066219196,117,117
195,-119.34501322633919,114,114
196,-100.79840075920174,80,80
197,-117.8749052684776,125,125
198,-85.17959911882706,124,124
199,-146.74058897747602,107,107
200,-344.316153116662,83,83
201,-122.26195055179222,96,96
202,-73.15313488337597,115,115
203,-343.53905883198945,94,94
204,-428.48146437966477,72,72
205,-149.328471110963,84,84
206,-228.82105264289547,105,105
207,-422.21431372562483,114,114
208,-232.52306593830437,92,92
209,-64.8198724718952,87,87
210,-243.51442453026473,124,124
211,-136.83066246932205,91,91
212,-256.3952198569783,118,118
213,-144.12432722200148,61,61
214,-69.12678800077128,65,65
215,-97.63689584796784,78,78
216,-64.06176606612742,84,84
217,-316.8576928605717,92,92
218,-127.20952986121695,140,140
219,-115.95313092400603,74,74
220,-381.60278052631236,109,109
221,-148.2400547378262,88,88
222,-202.68909146693107,120,120
223,-121.85672197965737,95,95
224,-110.58679370594069,130,130
225,-453.61421499045076,87,87
226,-53.25033719208114,60,60
227,-168.9724796801467,115,115
228,-92.68329332645796,104,104
229,-70.42096591432212,93,93
230,-72.32656454753797,58,58
231,-148.91808394513373,108,108
232,-139.15454647797281,118,118
233,-104.80402484241723,75,75
234,-209.27241148601047,80,80
235,-94.92090467999427,68,68
236,-103.8166489499384,84,84
237,-355.2676243376303,106,106
238,-103.7525952132794,94,94
239,-94.5281071911106,98,98
240,-58.93729068615893,136,136
241,-118.07668350396764,71,71
242,16.565766795290358,124,124
243,-27.696687297314952,71,71
244,-119.82578043766667,83,83
245,-392.0445871412963,83,83
246,-54.89047532573772,61,61
247,-103.3942818141896,76,76
248,-124.10902524433193,101,101
249,-90.89574612040445,98,98
250,-171.4932388463615,122,122
251,-331.7955729338744,124,124
252,-57.58664668182169,68,68
253,-106.23275279614082,135,135
254,-243.47103524464697,115,115
255,-86.6593054540011,69,69
256,-169.8177904727509,108,108
257,-137.15218763611242,91,91
258,-131.5581123388331,113,113
259,-302.31215349511126,76,76
260,-89.49487194868094,83,83
261,-87.28127744666179,105,105
262,-156.40553314045192,77,77
263,-130.85476506916982,68,68
264,-97.34849939008555,81,81
265,-240.49855438632963,98,98
266,-34.66850776622215,97,97
267,-179.77522659873762,110,110
268,-91.28223100523847,79,79
269,-286.0893792586231,90,90
270,-290.9908205724315,104,104
271,-59.28560719103536,69,69
272,-133.19081528196443,85,85
273,-368.2329012612437,91,91
274,-185.37175038141237,94,94
275,-129.5047983310447,75,75
276,-165.64465684669005,112,112
277,-65.17753570594076,75,75
278,-89.01483135941405,125,125
279,-208.51710165597382,134,134
280,-80.28162927959553,97,97
281,-130.74497219267548,57,57
282,-89.780738755856,78,78
283,-110.2786996665337,91,91
284,-88.84696457190918,115,115
285,-118.90271807732817,100,100
286,-295.5943129807145,129,129
287,-68.611276439884,70,70
288,-266.4888532536586,88,88
289,-235.14000860207435,87,87
290,-439.0462916356842,107,107
291,-89.57126517881055,114,114
292,-59.41203475412575,58,58
293,-229.39157291592485,131,131
294,-237.39890478653425,91,91
295,-165.146171651906,118,118
296,-240.47631872266447,94,94
297,-149.4580097091498,105,105
298,-222.8589104152545,108,108
299,-223.9095989870636,102,102
