episode,reward,time_seconds,steps
1,-202.07793514970103,0.33753395080566406,76
2,-113.41805569513184,0.34392786026000977,86
3,-53.62354983603079,0.33896970748901367,81
4,-226.28464363489442,0.3622465133666992,85
5,-242.76347747265865,0.4180886745452881,105
6,-187.3865479155915,0.6685161590576172,164
7,-131.80709185363423,0.3674750328063965,88
8,-127.63823228656206,0.2484114170074463,63
9,-104.71984647061903,0.4177103042602539,105
10,-121.91413392384241,0.45232343673706055,110
11,-120.39817766921695,0.31979942321777344,80
12,-63.94755803777004,0.2956430912017822,75
13,-134.41681939098092,0.45093417167663574,115
14,-292.9619742327151,0.38926172256469727,94
15,-102.5455473031822,0.25147056579589844,59
16,-166.7136265678941,0.49524545669555664,120
17,-383.07798599425337,0.35424232482910156,85
18,-294.52748212187987,0.4292442798614502,104
19,-95.52090546297208,0.31685638427734375,74
20,-147.70904392310112,1.4695582389831543,329
21,-99.86585143106817,0.3664062023162842,87
22,-109.38396438192223,0.334794282913208,85
23,-129.36786267524832,0.5637941360473633,138
24,-131.33175734971027,0.3558659553527832,87
25,-234.910455937553,0.4495420455932617,108
26,-232.32688474610197,0.34676671028137207,79
27,-274.0831023216553,0.4197251796722412,99
28,-69.01573406655523,0.22726750373840332,57
29,-139.12001509145253,0.4732370376586914,113
30,-115.60269739330913,0.45095109939575195,105
31,-178.38699634714538,0.5535881519317627,125
32,-104.19692890406985,0.3836493492126465,86
33,-232.88842941624924,0.5045464038848877,104
34,-123.41175694010406,0.4181802272796631,95
35,-78.44494860812122,0.3133232593536377,74
36,-36.07696298878945,0.35720276832580566,84
37,-336.97860138058036,0.47931408882141113,110
38,-112.83279244440962,0.32074904441833496,73
39,-90.1900181229455,0.3016021251678467,72
40,-90.78641160708732,0.46689510345458984,106
41,-90.25915944530517,0.342226505279541,79
42,-116.4290876859152,0.5697903633117676,138
43,-220.31904947926026,0.39931368827819824,86
44,-233.44765173972226,0.37917041778564453,84
45,-111.9334406856,0.5114483833312988,99
46,-140.58852604932662,0.3503406047821045,71
47,-92.60774842722046,0.3087916374206543,65
48,-76.90417243546182,0.35288023948669434,80
49,-214.314825548933,0.39392709732055664,99
50,-113.44155787999162,0.4386909008026123,104
51,-55.38280944634681,0.27732038497924805,67
52,-53.84519280401983,0.26889729499816895,65
53,-127.69876730057874,0.4353644847869873,106
54,-130.79129614839758,0.32022786140441895,82
55,-263.9131147398669,0.41573190689086914,98
56,-140.4587045258886,0.5228464603424072,115
57,-206.17995335997483,0.337094783782959,80
58,-68.92461882161672,0.3874940872192383,78
59,-335.62341176712346,0.5718612670898438,118
60,-153.79791852710412,0.4011199474334717,95
61,-102.05360950949631,0.2745628356933594,67
62,-52.47048188527927,0.35590243339538574,81
63,-159.23236695958508,0.3403952121734619,84
64,-344.04722698384563,0.3668818473815918,87
65,-102.11718612466763,0.3198361396789551,83
66,-115.02567635538885,0.36929845809936523,93
67,-366.0045040868688,0.38169312477111816,97
68,-208.5916878017702,0.5053300857543945,135
69,-367.91665702672526,0.5717642307281494,144
70,-395.96573711196544,0.36087989807128906,92
71,-101.47628359601171,0.4332139492034912,100
72,-136.02328580949433,0.48448610305786133,124
73,-192.2225389218849,0.36229825019836426,89
74,-135.3397712647071,0.47409868240356445,120
75,-116.49017569542102,0.2520878314971924,67
76,-110.44945679513049,0.3510782718658447,95
77,-362.58004140487867,0.33544278144836426,89
78,-282.36905542932607,0.4118764400482178,104
79,-206.31811326645845,0.44622373580932617,111
80,-117.05621631508657,0.3972635269165039,105
81,-139.50538328397252,0.39740633964538574,104
82,-166.17456833916674,0.2890791893005371,75
83,-346.4451287348401,0.4638984203338623,126
84,-107.21602424826109,0.3181180953979492,80
85,-242.73100877481232,0.5478572845458984,134
86,-287.47051865021473,0.38988804817199707,92
87,-177.89479360812322,0.521176815032959,118
88,-51.673909305954936,0.5691783428192139,120
89,-194.41722626249353,0.5503334999084473,126
90,-239.87416548751196,0.3836061954498291,84
91,-106.48508292547568,0.5250034332275391,93
92,-215.39664274444854,0.4492456912994385,90
93,-140.75699077516083,0.3003714084625244,73
94,-339.90022067960047,0.4054574966430664,92
95,-152.26429933958846,0.373427152633667,89
96,-138.24051685210986,0.2597944736480713,65
97,-306.8034067342668,0.306088924407959,75
98,-330.83508321651243,0.43253660202026367,101
99,-435.03720348531647,0.4289703369140625,99
100,-144.6936603095185,0.4326140880584717,107
101,-592.6299077655777,0.540095329284668,130
102,-109.0520817142485,0.27147555351257324,66
103,-214.75759639438337,0.38605546951293945,94
104,-151.1294575048697,0.4683377742767334,121
105,-146.83386763751432,0.3533358573913574,93
106,-226.4058510457723,0.3975684642791748,98
107,-350.7930331322485,0.44764018058776855,112
108,-165.7562869802078,0.33153843879699707,75
109,-422.55966279983,0.390350341796875,101
110,-210.5997388654898,0.36487627029418945,99
111,-237.00135503561808,0.5131769180297852,123
112,-301.5194142846168,0.40097737312316895,99
113,-73.08705411923657,0.4585750102996826,115
114,-74.34031600988622,0.3663966655731201,93
115,-16.996733897193522,0.2558891773223877,65
116,-146.096363610533,0.4679379463195801,112
117,-84.3906137806375,0.27042531967163086,67
118,-116.4231852103365,0.3679988384246826,91
119,-83.26412818704776,0.2662520408630371,70
120,-68.31130620228765,0.3544769287109375,92
121,-327.8667206410978,0.34902524948120117,87
122,-185.0560690781933,0.3545663356781006,91
123,-94.22680815915439,0.4457814693450928,112
124,-176.271225849237,0.39501523971557617,96
125,-193.724644527447,0.5456850528717041,135
126,-319.17907508633516,0.3496589660644531,81
127,-230.47913013920808,0.3857409954071045,101
128,-213.42772671147222,0.3149833679199219,79
129,-124.45177404543014,0.32498693466186523,81
130,-296.1533921610776,0.3470463752746582,94
131,-132.33418332568687,0.28144192695617676,72
132,-113.51111887677723,0.42461562156677246,100
133,-120.47740129190339,0.3746218681335449,91
134,-291.96954484763967,0.5138187408447266,129
135,-10.638293307065524,0.5061450004577637,127
136,-258.54749056937715,0.36739110946655273,91
137,-74.66386335906819,0.28218579292297363,69
138,-115.05444057036854,0.3390786647796631,84
139,-223.3269218519651,0.4680826663970947,110
140,0.9670519630025467,0.4873342514038086,115
141,-229.03282651859638,0.3534400463104248,82
142,-197.7997258648836,0.31437087059020996,70
143,-356.07320511725214,0.34926486015319824,87
144,-99.42729592627711,0.2460334300994873,61
145,-59.70711403708466,0.23615384101867676,59
146,-77.98809497802353,0.4118180274963379,91
147,-62.98659375870108,0.3894772529602051,102
148,-94.9560760140552,0.4255640506744385,112
149,-47.4259123682568,0.6053578853607178,136
150,-76.48055319389805,0.323488712310791,60
151,-95.95308671032848,0.40033459663391113,68
152,-70.87554917982432,0.336651086807251,72
153,-148.0657004630003,0.5512654781341553,128
154,-101.80907929756171,0.31467390060424805,78
155,-82.13159958208831,0.29688382148742676,71
156,-125.88975585909286,0.4704742431640625,118
157,-78.53545217617142,0.4116206169128418,99
158,-97.00094329788544,0.24541473388671875,62
159,-104.42437352368518,0.5187075138092041,135
160,-62.0380164814228,0.36255550384521484,93
161,-122.17510647210474,0.29429173469543457,75
162,-113.47399063428409,0.31647706031799316,81
163,-173.85745323832973,0.2822532653808594,72
164,-286.94325205782,0.4481034278869629,111
165,-84.18081681796141,0.4918503761291504,124
166,-318.4293915979939,0.3361687660217285,87
167,-124.08111675238618,0.30805063247680664,70
168,-71.71669318960778,0.3375864028930664,85
169,-277.6582321931121,0.4598519802093506,110
170,-378.53415192977906,0.3516407012939453,89
171,-128.8737064892918,0.6765573024749756,166
172,-144.38531620232,0.44426488876342773,109
173,-112.18677245279449,0.4756181240081787,106
174,-315.4622645680935,0.47028565406799316,121
175,-213.77131089987267,0.39102840423583984,93
176,-89.956535758533,0.5463001728057861,131
177,-69.58984218467204,0.25234055519104004,66
178,-189.40669394610163,0.445192813873291,111
179,-128.5342523408721,0.3161954879760742,80
180,-131.57154622303938,0.2998061180114746,77
181,-121.6179636931845,0.3991706371307373,99
182,-91.60550588184901,0.2810227870941162,68
183,-128.6847442088553,0.4659297466278076,120
184,-121.53545522300523,0.3649868965148926,92
185,-125.71589715696021,0.45038676261901855,110
186,-254.11880436374972,0.3837099075317383,99
187,-95.75632810594962,0.254133939743042,61
188,-99.08183705507156,0.251981258392334,65
189,-142.00014100262337,0.340817928314209,87
190,-80.37006710631958,0.4628479480743408,118
191,-104.61400186394988,0.46788549423217773,111
192,-105.5203712777551,0.40084123611450195,104
193,-113.81430900562182,0.3408544063568115,89
194,-377.99683825276213,0.5056617259979248,110
195,-66.35419536446744,0.43200111389160156,65
196,-93.94824305243021,0.5691676139831543,100
197,-92.86846799098466,0.2951078414916992,71
198,-165.79957194372446,0.3416604995727539,83
199,-121.22551033335682,0.5194747447967529,125
200,-90.88646052737857,0.2652013301849365,64
201,-87.76758524316402,0.5462558269500732,127
