episode,reward,time_seconds,steps
1,-452.5345,0.0006,91
2,-157.3331,0.0007,105
3,-251.3999,0.0007,114
4,-386.2207,0.0007,114
5,-145.7520,0.0007,61
6,-118.9733,0.0007,81
7,-250.9018,0.0007,93
8,-89.5552,0.0007,83
9,-182.2387,0.0007,143
10,-204.7812,0.0007,121
11,-189.6570,0.0008,100
12,-105.1738,0.0008,94
13,-73.6548,0.0008,75
14,-225.7167,0.0008,145
15,-90.8559,0.0008,74
16,-412.9499,0.0008,126
17,-49.9804,0.0008,70
18,-457.5580,0.0008,111
19,-169.2222,0.0011,116
20,-129.7612,0.0011,77
21,-90.0269,0.0011,124
22,-197.2488,0.0011,108
23,-112.4307,0.0011,72
24,-186.3504,0.0011,102
25,-127.7136,0.0011,74
26,-136.6485,0.0011,115
27,-150.1221,0.0012,87
28,-140.4576,0.0012,79
29,-368.8106,0.0012,101
30,-92.8874,0.0012,84
31,-175.9545,0.0012,83
32,-60.8069,0.0012,71
33,-201.3891,0.0012,102
34,-95.0473,0.0012,61
35,-350.1816,0.0012,129
36,-179.3569,0.0013,103
37,-116.1569,0.0013,94
38,-180.0696,0.0013,99
39,-119.9791,0.0013,104
40,-93.6703,0.0013,65
41,-121.6427,0.0013,74
42,-132.3648,0.0013,61
43,-126.1575,0.0015,65
44,-69.4219,0.0015,67
45,-335.9043,0.0015,109
46,-118.4752,0.0016,86
47,-254.1331,0.0016,134
48,-99.5445,0.0016,96
49,-92.1264,0.0016,95
50,-65.1384,0.0016,81
51,-96.5889,0.0016,86
52,-90.2502,0.0016,74
53,-333.4405,0.0016,110
54,-99.9662,0.0017,144
55,-104.3673,0.0017,65
56,-85.4577,0.0017,88
57,-68.9794,0.0017,75
58,-68.7660,0.0017,88
59,-101.0788,0.0017,87
60,-168.0698,0.0017,125
61,-113.3413,0.0017,89
62,-65.5099,0.0017,89
63,-141.5368,0.0017,100
64,-180.6907,0.0018,86
65,-67.2269,0.0020,82
66,-92.0682,0.0020,87
67,-142.9472,0.0020,100
68,-120.9385,0.0020,93
69,-121.9268,0.0020,83
70,-79.9045,0.0020,91
71,-137.4200,0.0020,110
72,-137.5401,0.0020,104
73,-144.7786,0.0020,108
74,-145.2815,0.0021,96
75,-138.7457,0.0021,95
76,-123.0823,0.0021,77
