time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
1953,2048,-175.720194625,1,1,91.9375,,,,,,,,,,
1548,4096,-196.6513731,2,2,94.7,0.2,0.01796875,-0.00789745090296492,1367.2951263427735,-0.00568699836730957,0.0002975424,-1.3844893157482148,617.2265625,10,0.0036227447
1589,6144,-190.18990747540985,3,3,92.47540983606558,0.2,0.0,-0.0018520211277063936,2104.0280059814454,0.045973360538482666,0.0002950848,-1.3833552330732346,1018.4092407226562,20,0.00057050074
1625,8192,-205.10526714457828,5,4,92.43373493975903,0.2,0.0,-0.0008169859414920211,1757.5882232666015,0.09230393171310425,0.00029262719999999996,-1.383569386601448,906.3054809570312,30,8.697258e-05
1632,10240,-201.67960876,6,5,94.88,0.2,0.0,-0.0010325072333216667,2151.2253479003907,0.1576424241065979,0.0002901696,-1.3830957055091857,1132.87109375,40,0.00022811862
1622,12288,-202.75470503,7,6,94.62,0.2,0.0,-0.0007734059239737689,1357.275439453125,0.24319714307785034,0.00028771199999999997,-1.3833289444446564,731.4628295898438,50,9.508646e-05
1617,14336,-190.17502126000002,8,7,94.32,0.2,0.0,-0.0014356542960740626,1080.0049285888672,0.17237669229507446,0.0002852544,-1.3825121432542802,422.85333251953125,60,0.00041317116
1600,16384,-187.67107259,10,8,95.69,0.2,0.0015625,-0.0013088376726955175,512.9591285705567,0.396675705909729,0.0002827968,-1.3814730882644652,203.55014038085938,70,0.0008251418
1570,18432,-173.19726283000003,11,9,95.96,0.2,0.0,-0.0005540527519769967,509.9897605895996,0.5147078037261963,0.00028033919999999996,-1.3804448068141937,181.5558319091797,80,4.8769783e-05
1553,20480,-159.42598953,13,10,103.57,0.2,0.00029296875,-0.0019892004725988953,473.47373352050784,0.45617443323135376,0.0002778816,-1.3790064483880997,123.27574920654297,90,0.0011065948
1571,22528,-149.56154663,14,11,102.85,0.2,0.000244140625,-0.002025490871164948,371.0614044189453,0.550287663936615,0.00027542399999999997,-1.381090584397316,181.51675415039062,100,0.00065869954
1585,24576,-140.94124628,15,12,100.9,0.2,0.0,-0.002694999345112592,367.1292121887207,0.47508084774017334,0.0002729664,-1.3803568959236145,200.35488891601562,110,0.000706304
1596,26624,-142.21894396,16,13,102.76,0.2,0.00234375,-0.0036595419282093645,346.7081813812256,0.7267009019851685,0.0002705088,-1.3790268927812577,261.6445007324219,120,0.0013060456
1602,28672,-139.86779736999998,17,14,92.74,0.2,0.0009765625,-0.004033414646983147,529.2224227905274,0.5341888666152954,0.00026805119999999996,-1.3739045858383179,228.90426635742188,130,0.0016103241
1611,30720,-139.47706576999997,19,15,94.44,0.2,0.002880859375,-0.006020994216669351,360.87824096679685,0.5651340484619141,0.0002655936,-1.3704940974712372,171.85850524902344,140,0.0028691688
1617,32768,-140.26920169000002,20,16,95.49,0.2,0.002587890625,-0.0051043063402175905,455.0465713500977,0.5215330123901367,0.00026313599999999997,-1.3643866270780562,240.0335235595703,150,0.0015553378
1625,34816,-135.93363081,21,17,99.17,0.2,0.006884765625,-0.0061171242210548375,228.43751525878906,0.3301721215248108,0.0002606784,-1.361077442765236,114.3660888671875,160,0.0028533444
1632,36864,-131.22910793,22,18,99.72,0.2,0.001708984375,-0.004205078771337867,733.411376953125,0.3344992995262146,0.0002582208,-1.3442723244428634,333.0382385253906,170,0.0026952063
