time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance
1,-207.8820996,0,2052,86.25,2048,,,,,,,,,,
2,-202.39691621428574,2,1595,89.07142857142857,4096,0.2,956.7716674804688,0.0015343578,-1.385675036907196,10,0.0002993856,0.003125,-0.0040848188567906615,1949.5225006103515,0.004887640476226807
3,-192.12295145454544,3,1604,87.68181818181819,6144,0.2,865.4923706054688,0.00058680493,-1.384742558002472,20,0.0002987712,0.0009765625,-0.0019236382329836487,1840.1033447265625,0.025797903537750244
4,-187.13479382758624,5,1617,89.4367816091954,8192,0.2,836.1229858398438,0.00058299117,-1.3847609013319016,30,0.00029815679999999994,0.000146484375,-0.0018838576739653944,1767.4702392578124,0.0712854266166687
5,-186.89511634999997,6,1630,89.39,10240,0.2,535.8455810546875,0.0006215578,-1.3845755636692048,40,0.0002975424,0.00029296875,-0.0021531752252485605,1275.8996276855469,0.16471827030181885
6,-175.45468449000003,7,1634,88.74,12288,0.2,580.513671875,0.00027988126,-1.3830707669258118,50,0.00029692799999999996,0.0,-0.0011458514025434851,1488.7644287109374,0.26187247037887573
7,-165.02433972000003,8,1632,88.49,14336,0.2,425.686767578125,0.0002845445,-1.3843043535947799,60,0.00029631359999999997,0.0,-0.0014611858292482792,883.729379272461,0.40017569065093994
8,-163.96313087,10,1637,89.39,16384,0.2,205.60923767089844,0.0001230611,-1.3849766910076142,70,0.0002956992,0.0,-0.0007122605224139988,566.8033561706543,0.48473888635635376
9,-164.69072470999998,11,1642,90.17,18432,0.2,263.85693359375,0.00013829002,-1.383759191632271,80,0.0002950848,0.0,-0.0013861130923032761,654.1460487365723,0.5486084818840027
10,-173.46910878999998,12,1645,93.52,20480,0.2,193.99510192871094,0.000189215,-1.382534497976303,90,0.0002944704,0.0,-0.0013130387174896895,556.582112121582,0.6873209476470947
11,-175.52514588999998,13,1647,93.56,22528,0.2,215.90850830078125,0.00034833243,-1.3813613951206207,100,0.00029385599999999995,0.0,-0.0013650340144522489,545.5394348144531,0.6023881435394287
12,-181.19321764,14,1649,95.56,24576,0.2,164.266845703125,0.0015928515,-1.379775705933571,110,0.00029324159999999995,0.0017578125,-0.004688530543353409,379.54000091552734,0.6568299531936646
13,-177.49652167,16,1651,95.5,26624,0.2,209.5315704345703,0.003935661,-1.3692940920591354,120,0.00029262719999999996,0.009765625,-0.008951671677641571,470.5641487121582,0.5932223200798035
14,-160.87111813,17,1652,94.45,28672,0.2,200.68853759765625,0.0015383626,-1.3599046051502228,130,0.00029201279999999997,0.001904296875,-0.0025404451065696777,453.7550933837891,0.461317777633667
15,-146.46851599,18,1653,93.06,30720,0.2,159.18142700195312,0.0071721594,-1.3509574562311173,140,0.0002913984,0.042626953125,-0.009860232064966112,319.30951194763185,0.33178645372390747
16,-135.11648181,19,1653,93.29,32768,0.2,209.36790466308594,0.0024182606,-1.3585812091827392,150,0.000290784,0.01015625,-0.004753250139765441,411.4928520202637,0.5157383680343628
17,-125.87735133,21,1653,92.34,34816,0.2,187.2411346435547,0.0013878488,-1.360745796561241,160,0.0002901696,0.001416015625,-0.003097155224531889,381.1450424194336,0.48222893476486206
18,-126.91559651,22,1655,94.68,36864,0.2,215.68505859375,0.0021593096,-1.3497680991888046,170,0.0002895552,0.001025390625,-0.0039053996559232475,444.4432571411133,0.4143875241279602
19,-125.11031383000001,23,1657,95.4,38912,0.2,83.79847717285156,0.0123568475,-1.324002853035927,180,0.00028894079999999996,0.05888671875,-0.012713792349677533,193.40923233032225,0.5734297037124634
20,-123.67404044000001,24,1658,97.87,40960,0.2,119.00306701660156,0.004174463,-1.2713238954544068,190,0.00028832639999999996,0.009228515625,-0.006287789408816025,257.3614963531494,0.5705169439315796
21,-119.76201265000002,25,1658,99.31,43008,0.2,155.7333221435547,0.0018365368,-1.2603962421417236,200,0.00028771199999999997,0.006591796875,-0.005004550423473119,354.4499137878418,0.6206837296485901
22,-109.32593662,27,1659,101.05,45056,0.2,127.47908020019531,0.007265893,-1.2485559910535813,210,0.0002870976,0.021630859375,-0.0071034137392416595,241.57490081787108,0.6846140623092651
23,-101.16892613000002,28,1658,104.94,47104,0.2,109.38288879394531,0.0043139798,-1.2085468590259552,220,0.0002864832,0.005517578125,-0.0053818561136722565,220.87617721557618,0.5630291700363159
24,-95.90615028999999,29,1649,109.86,49152,0.2,85.98817443847656,0.0030519415,-1.1791143715381622,230,0.00028586879999999994,0.00205078125,-0.0037967089214362205,203.75083808898927,0.5980212092399597
25,-93.88808116999999,31,1631,114.49,51200,0.2,122.29500579833984,0.007389982,-1.1400643080472945,240,0.0002852544,0.032861328125,-0.00975109712453559,303.74703788757324,0.543465256690979
26,-89.24769509000002,33,1611,118.68,53248,0.2,120.01325988769531,0.006663962,-1.1336980670690537,250,0.00028463999999999996,0.041943359375,-0.006943298992700875,266.7886707305908,0.6571037769317627
27,-76.66158417000001,34,1589,136.54,55296,0.2,97.14511108398438,0.005606306,-1.1753431469202043,260,0.00028402559999999997,0.024072265625,-0.003949533752165735,227.65284004211426,0.6340393424034119
