time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/explained_variance
1,2048,1,90.57894736842105,-178.70715352631575,1479,,,,,,,,,,
3,4096,2,88.78048780487805,-167.3406341219512,1219,10,-0.002962313900934532,-1.3856293261051178,0.00029987712,0.2,0.0014436056,0.0005859375,727.60302734375,1440.1557647705079,-0.0026340484619140625
4,6144,3,88.83076923076923,-159.0554462,1342,20,-0.0031042956514284016,-1.3838072896003724,0.00029975423999999997,0.2,0.0010593851,0.004833984375,511.8817443847656,1101.3308242797852,0.054995954036712646
5,8192,4,90.74712643678161,-165.82001431034482,1412,30,-0.0016460464801639318,-1.384088969230652,0.00029963136,0.2,0.00057877705,0.000390625,525.6401977539062,1201.4526077270507,0.10470300912857056
7,10240,5,91.69,-166.32384241000003,1460,40,-0.0009250572649762035,-1.383690395951271,0.00029950847999999996,0.2,0.00021588866,0.0,602.6350708007812,1303.6544799804688,0.2595025897026062
8,12288,6,93.06,-164.51558838,1497,50,-0.0030743330367840826,-1.3828727066516877,0.0002993856,0.2,0.00094360596,0.0009765625,372.7532653808594,843.2550842285157,0.39407968521118164
9,14336,7,94.63,-165.02423424999998,1521,60,-0.0009249061462469399,-1.3811563372612,0.00029926272,0.2,0.00018615843,0.0,316.8579406738281,882.2544876098633,0.3760583996772766
10,16384,8,93.83,-170.15485214000003,1538,70,-0.001275591371813789,-1.38218192756176,0.00029913984,0.2,0.00040635664,0.00068359375,167.91781616210938,443.27944030761716,0.5869107246398926
11,18432,9,92.06,-159.61482614,1552,80,-0.0014953143894672395,-1.382210198044777,0.00029901696,0.2,0.000265897,0.0,234.0042266845703,595.4569465637207,0.5928139686584473
13,20480,10,90.42,-154.35553298,1566,90,-0.0020956262480467556,-1.3816786974668502,0.00029889407999999997,0.2,0.00075338385,0.00068359375,165.70372009277344,452.9753807067871,0.7026841640472412
14,22528,11,88.6,-144.53157514000003,1578,100,-0.0032974076457321644,-1.381151932477951,0.0002987712,0.2,0.0010149091,0.002099609375,146.26422119140625,387.1114730834961,0.5233222246170044
15,24576,12,89.85,-144.85901371,1586,110,-0.005803476803703233,-1.377713170647621,0.00029864831999999996,0.2,0.0027831518,0.0095703125,203.5079803466797,445.3780227661133,0.5686994791030884
16,26624,13,92.33,-139.02136757,1594,120,-0.0026174843544140456,-1.3770716518163681,0.00029852544,0.2,0.00055694184,0.00029296875,238.25254821777344,605.5452629089356,0.3805670142173767
17,28672,14,94.73,-133.42430578999998,1597,130,-0.0018345023738220334,-1.3743073701858521,0.00029840255999999995,0.2,0.0009373947,0.00166015625,247.6312713623047,521.8420402526856,0.5596412420272827
19,30720,15,94.73,-134.47228649000002,1604,140,-0.005382043996360153,-1.374120220541954,0.00029827968,0.2,0.0023641032,0.001611328125,109.28182983398438,243.05091552734376,0.4597993493080139
20,32768,16,95.31,-133.10283449000002,1609,150,-0.008832218975294381,-1.3572690695524217,0.00029815679999999994,0.2,0.00633453,0.029150390625,68.8885269165039,182.89213829040528,0.4944988489151001
21,34816,17,96.86,-123.68484734000003,1613,160,-0.014849468658212572,-1.336799681186676,0.00029803391999999997,0.2,0.0123830335,0.0658203125,58.213775634765625,112.04950981140136,0.6146320104598999
22,36864,18,101.45,-115.32562688,1618,170,-0.009286825789604335,-1.301822543144226,0.00029791104,0.2,0.007850932,0.02060546875,70.70035552978516,174.6488250732422,0.5346943140029907
24,38912,19,102.79,-107.42048319,1619,180,-0.0032337354379706083,-1.277823778986931,0.00029778816,0.2,0.0017579619,0.00341796875,168.0651092529297,426.13766021728514,0.5025469064712524
25,40960,20,108.54,-99.08664795,1621,190,-0.007531271653715521,-1.2584681570529939,0.00029766528,0.2,0.0066871913,0.02275390625,129.97628784179688,246.34188232421874,0.5531421899795532
26,43008,21,113.4,-91.544309,1619,200,-0.003320436575450003,-1.2038606256246567,0.0002975424,0.2,0.002404977,0.0005859375,175.10511779785156,372.3990810394287,0.48704105615615845
27,45056,22,123.21,-83.67977121999998,1620,210,-0.0014387726318091155,-1.1975985944271088,0.00029741952,0.2,0.00034397974,0.0,218.1868896484375,623.7434593200684,0.5420651435852051
29,47104,23,129.82,-78.73664580999998,1622,220,-0.003425968671217561,-1.2377140760421752,0.00029729664,0.2,0.0014168097,0.002197265625,89.03070068359375,196.77414245605468,0.6705727577209473
30,49152,24,132.0,-67.18120888,1620,230,-0.008805761567782611,-1.20096655189991,0.00029717375999999997,0.2,0.0056566754,0.02607421875,81.75691986083984,195.36329956054686,0.6723430752754211
31,51200,25,137.09,-61.72896032999999,1616,240,-0.004336505295941606,-1.1469555974006653,0.00029705088,0.2,0.0045608,0.0025390625,49.22161865234375,150.48990898132325,0.7881298065185547
33,53248,26,145.55,-55.76226070999999,1605,250,-0.008362277911510318,-1.1624593824148177,0.00029692799999999996,0.2,0.0076645385,0.035595703125,66.07950592041016,152.5272533416748,0.703872561454773
34,55296,27,150.21,-54.77359274999999,1591,260,-0.007063530711457133,-1.1060362488031388,0.00029680512,0.2,0.005780571,0.0267578125,59.81702423095703,143.6282138824463,0.7735071778297424
36,57344,28,162.58,-54.85020493000001,1560,270,-0.005531245953170583,-1.1363900005817413,0.00029668223999999995,0.2,0.0035301542,0.018994140625,102.87859344482422,264.9848892211914,0.6714531183242798
38,59392,29,167.05,-53.30774120000001,1544,280,-0.0068276603415142745,-1.1977300494909286,0.00029655936,0.2,0.008662853,0.05703125,62.93771743774414,132.48045749664306,0.716030478477478
40,61440,30,200.4,-48.33184229,1523,290,-0.005887817830080166,-1.2215505987405777,0.00029643648,0.2,0.009804852,0.03212890625,45.74348831176758,111.89858703613281,0.7290624380111694
41,63488,31,201.53,-46.03826708,1519,300,-0.00647804017062299,-1.2786451190710069,0.00029631359999999997,0.2,0.008919803,0.041650390625,36.28302764892578,98.7698143005371,0.7350419759750366
43,65536,32,222.39,-41.745190670000014,1512,310,-0.008577290957327932,-1.257668700814247,0.00029619072,0.2,0.00862336,0.067919921875,42.272193908691406,84.17712116241455,0.7717922925949097
