episode,reward,time_seconds,steps
1,200.0000,6.4046,373
2,200.0000,7.1239,409
3,240.0000,7.0849,409
4,240.0000,7.3316,439
5,200.0000,7.2223,457
6,300.0000,8.2956,565
7,260.0000,8.7952,609
8,110.0000,9.8934,347
9,120.0000,10.9122,507
10,240.0000,11.0960,451
11,150.0000,12.8276,421
12,180.0000,12.7086,489
13,690.0000,13.0458,1077
14,660.0000,13.8073,751
15,240.0000,14.0121,433
16,350.0000,13.9427,749
17,230.0000,15.0783,443
18,290.0000,15.3117,453
19,160.0000,16.6828,429
20,200.0000,18.5753,557
21,230.0000,18.6686,537
22,190.0000,18.6833,553
23,600.0000,19.0160,735
24,270.0000,19.4453,481
25,220.0000,20.1016,553
26,440.0000,20.6509,893
27,230.0000,21.8663,547
28,370.0000,22.9589,483
29,320.0000,23.5562,513
30,970.0000,24.2366,621
31,350.0000,24.4331,659
32,220.0000,24.4891,491
33,580.0000,25.7096,751
34,510.0000,27.6727,823
35,950.0000,27.9849,735
36,950.0000,29.0933,737
37,630.0000,29.6527,571
38,550.0000,30.1501,747
39,360.0000,30.1625,655
40,560.0000,30.8633,753
41,130.0000,30.9858,377
42,260.0000,32.1760,727
43,450.0000,33.3073,595
44,450.0000,35.5915,683
45,1730.0000,35.7053,609
46,300.0000,36.4364,613
47,570.0000,36.8945,871
48,340.0000,37.1607,799
49,270.0000,38.0666,541
50,900.0000,38.0679,673
51,530.0000,38.8683,889
52,170.0000,43.1926,571
53,690.0000,43.1510,863
54,450.0000,43.1610,703
55,520.0000,43.3994,889
56,420.0000,43.6052,647
57,590.0000,44.2310,615
58,730.0000,44.1918,905
59,540.0000,44.7459,875
60,290.0000,46.4668,375
61,160.0000,47.7149,495
62,230.0000,48.0360,601
63,220.0000,48.7961,549
64,810.0000,49.1912,519
65,820.0000,49.1515,731
66,290.0000,49.5940,655
67,330.0000,50.0350,439
68,90.0000,50.2001,313
69,390.0000,53.6298,657
70,780.0000,54.1108,529
71,240.0000,54.1610,611
72,830.0000,54.3657,1189
73,470.0000,54.7461,645
74,210.0000,55.5565,635
75,230.0000,55.4942,713
76,210.0000,56.5777,715
77,240.0000,58.5800,519
78,430.0000,59.6679,619
79,830.0000,59.9523,635
80,240.0000,60.7997,585
81,620.0000,61.2224,651
82,560.0000,62.1065,809
83,250.0000,62.2993,959
84,860.0000,63.1713,737
85,420.0000,64.2486,517
86,270.0000,64.5736,697
87,230.0000,65.8574,667
88,270.0000,65.9996,611
89,240.0000,66.9628,617
90,860.0000,67.5058,621
91,380.0000,68.1677,539
92,510.0000,69.3012,725
93,260.0000,69.4191,499
94,300.0000,70.8735,533
95,500.0000,71.9089,611
96,370.0000,71.8412,825
97,940.0000,73.0650,649
98,220.0000,73.2542,593
99,210.0000,73.1811,549
100,220.0000,75.3411,643
101,440.0000,75.2894,653
102,900.0000,77.3930,661
103,660.0000,78.2282,585
104,340.0000,78.7122,569
105,850.0000,78.7308,725
106,280.0000,79.0643,617
107,780.0000,78.8966,741
108,420.0000,80.3375,561
109,970.0000,81.1980,627
110,290.0000,83.6453,565
111,300.0000,83.5932,521
112,850.0000,83.6269,553
113,340.0000,83.8186,739
114,460.0000,84.6574,601
115,570.0000,85.0628,735
116,250.0000,85.5003,533
117,470.0000,87.0557,655
118,460.0000,88.6980,589
119,310.0000,89.1352,605
120,300.0000,89.4608,553
121,350.0000,90.0097,657
122,390.0000,90.5603,609
123,380.0000,92.9514,905
124,310.0000,92.9881,711
125,320.0000,93.5778,523
126,1120.0000,93.8719,1181
127,360.0000,94.5155,535
128,500.0000,94.7384,669
129,340.0000,94.6277,453
130,520.0000,94.9108,635
131,260.0000,97.0603,461
132,180.0000,97.8647,377
133,540.0000,98.2449,567
134,980.0000,99.0421,671
135,290.0000,99.0810,589
136,950.0000,99.6710,583
137,460.0000,100.0874,617
138,550.0000,99.9665,635
139,440.0000,102.6993,595
140,330.0000,102.8608,699
141,200.0000,103.3846,407
142,220.0000,103.6985,555
143,610.0000,103.9031,599
144,610.0000,104.9730,793
145,400.0000,105.9784,713
146,380.0000,106.1434,745
147,280.0000,107.6579,539
148,270.0000,108.0196,461
149,190.0000,108.7540,399
150,280.0000,108.7333,613
151,1020.0000,109.2822,657
152,600.0000,109.9559,785
153,190.0000,110.6654,537
154,260.0000,111.6522,673
155,250.0000,113.1496,511
156,370.0000,113.3221,599
157,1000.0000,113.3068,663
158,510.0000,114.4251,519
159,350.0000,114.4082,661
160,300.0000,116.7238,659
161,1700.0000,116.4599,789
162,210.0000,117.7111,535
163,550.0000,117.9714,705
164,480.0000,117.9193,545
165,570.0000,119.3598,709
166,360.0000,120.3243,669
167,500.0000,121.5241,807
168,320.0000,122.5787,641
169,780.0000,122.5743,689
170,510.0000,122.9035,557
171,260.0000,123.9315,653
172,530.0000,125.0332,825
173,940.0000,125.7887,681
174,460.0000,126.1576,661
175,330.0000,126.2872,551
176,500.0000,128.1793,575
177,350.0000,129.3381,771
178,1120.0000,130.3130,879
179,280.0000,130.5887,577
180,310.0000,130.7146,785
181,300.0000,131.5944,735
182,470.0000,132.0226,681
183,490.0000,132.7356,703
184,240.0000,134.1298,539
185,360.0000,133.9439,641
186,130.0000,135.1031,457
187,950.0000,135.3961,579
188,490.0000,136.6606,669
189,430.0000,137.3254,601
190,260.0000,137.7769,607
191,220.0000,138.7839,659
192,270.0000,139.6446,607
193,530.0000,141.2652,785
194,230.0000,141.0938,605
195,250.0000,141.6025,743
196,440.0000,142.5096,637
197,260.0000,142.6743,557
198,280.0000,143.2126,657
199,310.0000,144.3292,595
200,310.0000,145.5237,645
201,410.0000,147.1034,463
202,470.0000,147.4103,631
203,870.0000,148.0079,707
204,220.0000,148.1177,755
205,460.0000,148.5929,669
206,330.0000,149.5345,601
207,280.0000,150.1557,751
208,540.0000,151.6124,687
209,190.0000,151.7923,427
210,460.0000,152.8344,621
211,460.0000,153.1489,619
212,540.0000,153.3235,627
213,270.0000,154.3173,633
214,290.0000,156.2121,731
215,470.0000,156.2680,707
216,630.0000,157.4030,627
217,410.0000,158.2027,591
218,410.0000,159.4894,681
219,470.0000,159.5661,665
220,870.0000,159.4864,865
221,310.0000,160.5109,659
222,390.0000,161.8008,619
223,280.0000,162.5651,543
224,460.0000,163.9113,641
225,180.0000,164.5831,605
226,260.0000,165.1701,649
227,440.0000,165.0955,521
228,2530.0000,165.1163,979
229,380.0000,165.2196,659
230,180.0000,165.5064,441
231,190.0000,167.1391,511
232,180.0000,169.0590,623
233,380.0000,169.8081,541
234,1720.0000,171.0277,669
235,210.0000,170.9130,639
236,180.0000,171.2093,641
237,260.0000,171.1505,701
238,860.0000,172.2451,847
239,260.0000,173.1262,709
240,540.0000,174.1823,543
241,260.0000,175.5917,661
242,310.0000,176.7301,645
243,270.0000,176.7039,617
244,280.0000,177.5409,679
245,280.0000,177.7031,761
246,220.0000,178.9102,727
247,330.0000,179.6922,701
248,580.0000,180.0226,649
249,210.0000,180.4912,559
250,260.0000,182.2163,591
251,280.0000,182.7073,673
252,250.0000,182.7050,605
253,230.0000,182.8951,477
254,490.0000,183.4222,631
255,190.0000,183.9210,385
256,440.0000,184.8950,631
257,270.0000,185.6648,401
258,280.0000,185.8616,671
259,310.0000,187.4039,517
260,220.0000,187.8879,557
261,420.0000,188.0941,593
262,250.0000,189.0728,635
263,300.0000,190.5199,723
264,480.0000,190.4972,613
265,530.0000,191.6566,679
266,300.0000,192.8727,585
267,430.0000,192.8630,785
268,660.0000,193.9510,667
269,320.0000,193.8600,687
270,290.0000,194.1056,601
271,330.0000,195.6636,553
272,260.0000,196.4732,693
273,260.0000,198.4860,621
274,470.0000,198.5351,629
275,310.0000,199.5046,581
276,230.0000,199.5747,605
277,260.0000,199.7055,875
278,980.0000,201.1881,735
279,790.0000,202.5852,753
280,200.0000,203.5799,501
281,310.0000,203.8382,535
282,180.0000,203.8170,443
283,1120.0000,204.7589,807
284,180.0000,204.9998,567
285,270.0000,206.1134,639
286,280.0000,206.1778,493
287,190.0000,208.7359,485
288,470.0000,209.1678,591
289,200.0000,209.8543,585
290,350.0000,210.0038,733
291,230.0000,211.2173,655
292,570.0000,213.3655,705
293,330.0000,213.4538,709
294,120.0000,213.6267,351
295,970.0000,213.8875,891
296,300.0000,214.3680,529
297,530.0000,215.3983,585
298,480.0000,215.3991,689
299,490.0000,217.7771,673
300,250.0000,219.1496,607
301,360.0000,219.7743,603
302,400.0000,220.1093,699
303,340.0000,221.3220,653
304,270.0000,221.6611,781
305,280.0000,221.8301,639
306,1030.0000,223.9400,807
307,440.0000,224.0364,453
308,430.0000,224.3461,641
309,940.0000,226.8465,659
310,370.0000,227.4236,693
