episode,reward,time,steps
1,-200.9263,0.0005,93
2,20.8459,0.0006,75
3,-193.4122,0.0006,80
4,-211.2341,0.0006,106
5,-158.9361,0.0007,113
6,-153.3135,0.0007,68
7,-94.9429,0.0008,114
8,-70.7340,0.0008,76
9,-113.9084,0.0008,88
10,-84.4472,0.0008,66
11,-78.9115,0.0009,72
12,-146.6187,0.0009,95
13,-183.4725,0.0009,70
14,-58.5621,0.0010,117
15,-98.5144,0.0010,101
16,-60.6032,0.0011,97
17,-75.5369,0.0011,74
18,-168.8694,0.0011,104
19,-202.0891,0.0012,89
20,-75.5873,0.0012,72
21,-44.4666,0.0012,125
22,-114.9868,0.0013,70
23,-165.1947,0.0013,119
24,-234.4227,0.0013,119
25,-193.2603,0.0014,108
26,-69.5101,0.0014,93
27,-67.9299,0.0014,65
28,-275.9766,0.0015,114
29,-186.4999,0.0015,121
30,-101.7904,0.0016,88
31,-372.8884,0.0016,127
32,-213.9943,0.0016,100
33,-49.1629,0.0017,88
34,-131.4945,0.0017,84
35,-208.0317,0.0017,99
36,-168.7487,0.0018,80
37,-62.7223,0.0018,91
38,-10.6090,0.0019,134
39,-2.5611,0.0019,72
40,-90.7717,0.0019,105
41,-148.4922,0.0020,108
42,-75.2164,0.0020,76
43,20.0613,0.0020,80
44,-2.9884,0.0020,109
45,-300.4243,0.0021,114
46,13.1674,0.0022,162
47,-91.9628,0.0022,142
48,-92.5178,0.0023,157
49,-231.5209,0.0023,125
50,0.2920,0.0024,99
51,-595.5435,0.0024,148
52,-334.6760,0.0025,154
53,-156.0804,0.0025,111
54,-153.5801,0.0026,200
55,-312.9948,0.0026,94
56,-347.8997,0.0027,145
57,-246.7374,0.0027,120
58,-333.1673,0.0028,85
59,-278.4707,0.0028,124
60,-615.1707,0.0029,133
61,-66.1903,0.0029,146
62,-280.8490,0.0030,110
63,-372.9203,0.0030,135
64,-262.6424,0.0031,145
65,-184.0921,0.0031,91
66,-32.2918,0.0032,122
67,-162.3605,0.0032,119
68,-464.6345,0.0032,127
69,-216.3122,0.0033,168
70,-11.1692,0.0033,94
71,-191.0830,0.0034,122
72,-418.9941,0.0034,108
73,-123.1694,0.0036,257
74,20.6143,0.0036,133
75,12.8255,0.0037,101
76,-223.5433,0.0037,128
77,-267.5225,0.0038,149
78,-53.4222,0.0038,145
79,-210.6758,0.0039,95
80,-116.6775,0.0039,154
81,-84.1094,0.0040,126
82,-74.6555,0.0040,186
83,-136.0454,0.0041,65
84,-24.2855,0.0041,102
85,-59.2254,0.0042,118
86,17.8165,0.0042,98
87,-43.7403,0.0043,165
88,-99.0670,0.0043,121
89,-207.1273,0.0044,183
90,-138.7399,0.0044,171
91,-11.3594,0.0045,135
92,-20.0213,0.0045,153
93,-27.7023,0.0046,92
94,138.4490,0.0054,1000
95,11.3325,0.0055,173
96,-229.0492,0.0056,210
97,2.9819,0.0056,123
98,29.2384,0.0057,125
99,-21.6523,0.0057,119
100,133.9217,0.0066,1000
101,40.5578,0.0066,166
102,-349.2750,0.0067,227
103,-49.4378,0.0068,160
104,-79.1987,0.0069,242
105,41.9190,0.0070,184
106,-50.8290,0.0071,202
107,-167.7146,0.0072,277
108,-24.1792,0.0073,153
109,-165.5829,0.0073,226
110,-112.8440,0.0076,330
111,-40.0807,0.0076,193
112,-303.4550,0.0078,265
113,-35.6998,0.0079,213
114,173.5848,0.0085,793
115,-427.3913,0.0086,198
116,162.3519,0.0093,1000
117,204.8939,0.0101,873
118,-200.3542,0.0105,540
119,-113.5119,0.0106,209
120,-141.7862,0.0110,480
121,-112.4998,0.0110,177
122,-163.5873,0.0113,415
123,-837.5711,0.0116,463
124,-147.1571,0.0120,518
125,-207.5862,0.0129,788
126,-635.3828,0.0131,392
127,-806.1047,0.0137,568
128,-163.3369,0.0140,444
129,-184.6280,0.0141,217
130,-182.7104,0.0142,257
131,-105.2435,0.0143,147
132,-164.8374,0.0144,234
133,-109.4007,0.0144,136
134,-194.8701,0.0148,464
135,-49.4090,0.0158,1000
136,-221.4945,0.0169,947
137,-169.9109,0.0177,856
138,-75.6181,0.0188,1000
139,-57.6003,0.0197,1000
140,-58.5364,0.0207,1000
141,-48.9557,0.0221,1000
142,-136.4764,0.0228,661
143,-38.9555,0.0238,1000
144,-64.1344,0.0249,1000
145,-132.8221,0.0263,1000
146,-69.3062,0.0278,1000
147,-42.4443,0.0279,305
148,-59.7770,0.0293,1000
149,-85.4655,0.0303,1000
150,-37.1714,0.0316,1000
151,-22.3793,0.0328,1000
152,-46.5622,0.0329,297
153,-80.2695,0.0345,1000
154,-14.1426,0.0356,1000
155,-46.0442,0.0376,1000
156,-84.5916,0.0389,1000
157,-50.1463,0.0399,1000
158,-50.8403,0.0409,1000
159,-60.8092,0.0420,1000
160,-1.2540,0.0429,1000
161,-92.3145,0.0439,1000
162,-108.7040,0.0443,501
163,-232.5040,0.0454,957
164,-126.9618,0.0457,417
165,-80.8088,0.0469,1000
166,-154.6745,0.0480,1000
167,-110.0115,0.0484,478
168,-68.1280,0.0498,1000
169,-58.2770,0.0499,260
170,-17.1313,0.0518,1000
171,6.0624,0.0527,1000
172,-66.6216,0.0542,1000
173,-73.4081,0.0544,353
174,-99.4543,0.0545,228
175,-74.3580,0.0557,1000
176,-40.0891,0.0567,1000
177,135.7424,0.0572,563
178,-57.4752,0.0574,347
179,-202.8605,0.0581,761
180,-68.8259,0.0582,196
181,-129.5543,0.0585,475
182,-82.8018,0.0587,321
183,-133.5582,0.0595,868
184,-74.2650,0.0604,1000
185,-73.8603,0.0606,384
186,-92.8746,0.0609,433
187,-69.2492,0.0611,331
188,-73.2277,0.0614,524
189,76.0653,0.0627,1000
190,-49.8773,0.0630,443
191,132.2014,0.0633,420
192,-136.1742,0.0635,345
193,132.9251,0.0638,422
194,174.7892,0.0648,959
195,237.6058,0.0657,994
196,234.4054,0.0663,647
197,-77.2887,0.0664,158
198,201.8941,0.0667,462
199,-98.2391,0.0669,402
200,97.0518,0.0673,500
201,156.2483,0.0677,613
202,164.6207,0.0683,654
203,-68.6018,0.0684,152
204,-86.0959,0.0686,392
205,-60.9906,0.0687,238
206,-80.6800,0.0688,156
207,-40.7499,0.0691,439
208,-91.8035,0.0692,306
209,-64.6106,0.0693,139
210,21.5315,0.0701,1000
211,104.6005,0.0706,639
212,-55.8454,0.0708,320
213,256.2574,0.0711,551
214,-96.2635,0.0713,375
215,-73.6356,0.0714,211
216,224.4463,0.0717,499
217,-73.8365,0.0718,218
218,21.8619,0.0726,1000
219,-51.3042,0.0729,464
220,-91.4398,0.0729,140
221,197.4679,0.0734,524
222,-134.5516,0.0736,385
223,3.2194,0.0750,1000
224,131.8965,0.0755,534
225,-81.0691,0.0756,326
226,-103.1191,0.0758,389
227,-82.0066,0.0760,305
228,-61.4744,0.0761,217
229,-70.9216,0.0762,220
230,-100.7224,0.0765,423
231,249.5977,0.0768,536
232,99.1078,0.0775,1000
233,65.8262,0.0785,1000
234,-57.5001,0.0786,252
235,-49.1954,0.0795,1000
236,28.0364,0.0804,1000
237,-68.8811,0.0806,357
238,-108.7871,0.0807,245
239,-50.1507,0.0809,361
240,-54.6793,0.0810,192
241,41.4206,0.0817,1000
242,58.1680,0.0829,1000
243,-99.1744,0.0832,543
244,-50.3233,0.0833,171
245,-50.3479,0.0834,214
246,153.1885,0.0837,414
247,106.8711,0.0843,724
248,-101.0869,0.0843,134
249,174.2495,0.0849,618
250,-117.9568,0.0855,617
251,-14.1852,0.0865,1000
252,82.6048,0.0874,1000
253,120.6253,0.0885,963
254,-86.5975,0.0886,236
255,57.0532,0.0896,1000
256,-69.5311,0.0897,217
257,-63.8803,0.0898,264
258,-91.5845,0.0901,477
259,-70.6304,0.0903,326
260,-123.2488,0.0907,542
261,91.3386,0.0914,725
262,-74.6438,0.0916,346
263,-69.4138,0.0920,511
264,-75.5818,0.0921,240
265,125.3768,0.0925,480
266,212.0000,0.0929,533
267,-36.0368,0.0931,313
268,149.3902,0.0934,442
269,-71.2565,0.0936,291
270,-84.2442,0.0937,294
271,131.4739,0.0941,480
272,189.4838,0.0945,471
273,-77.2601,0.0947,244
274,-105.0632,0.0949,429
275,-75.8577,0.0950,193
276,44.1899,0.0962,1000
277,97.8938,0.0966,530
278,154.8592,0.0968,420
279,99.8607,0.0974,778
280,40.4136,0.0982,1000
281,-14.1886,0.0990,1000
282,144.5184,0.0995,561
283,161.1664,0.1000,574
284,59.6415,0.1008,1000
285,-36.2936,0.1011,465
286,-21.2776,0.1015,530
287,76.0004,0.1028,1000
288,180.8036,0.1039,923
289,114.4788,0.1047,745
290,195.9869,0.1051,513
291,196.5685,0.1054,537
292,-77.2517,0.1056,246
293,156.4461,0.1062,551
294,165.7014,0.1069,893
295,-48.8198,0.1072,400
296,149.6891,0.1076,501
297,203.0002,0.1079,421
298,100.3339,0.1084,650
299,-63.4564,0.1087,432
300,196.2292,0.1090,448
301,220.8396,0.1094,470
302,-66.5216,0.1096,385
303,118.7008,0.1104,1000
304,167.3541,0.1108,477
305,92.8505,0.1120,1000
306,182.4860,0.1129,718
307,194.6833,0.1135,598
308,201.9078,0.1138,450
309,174.4441,0.1142,453
310,196.1277,0.1144,412
311,-8.9678,0.1147,408
312,220.3164,0.1151,522
313,199.7668,0.1154,427
314,197.1619,0.1158,426
315,75.4771,0.1167,1000
316,223.3591,0.1172,550
317,215.3795,0.1175,533
318,-66.1419,0.1178,400
319,109.7973,0.1190,1000
320,155.0861,0.1195,535
321,152.4562,0.1203,924
322,202.7976,0.1207,497
323,225.1034,0.1211,456
324,192.0604,0.1213,424
325,235.8718,0.1216,395
326,207.3098,0.1219,380
327,174.7620,0.1221,384
328,-40.5501,0.1223,328
329,154.1097,0.1226,445
330,83.1200,0.1234,1000
331,-54.4584,0.1235,256
332,-55.2107,0.1237,349
333,-25.3483,0.1238,270
334,218.4432,0.1241,385
335,243.1951,0.1243,386
336,88.0664,0.1253,1000
337,-51.7629,0.1255,341
338,-57.4155,0.1257,335
339,229.6058,0.1259,361
340,76.6251,0.1267,1000
341,-23.7555,0.1268,305
342,161.8197,0.1276,969
343,197.7259,0.1283,738
344,-52.2497,0.1284,238
345,227.0224,0.1286,361
346,241.9944,0.1289,383
347,-90.0940,0.1290,331
348,-23.0364,0.1292,300
349,-9.8584,0.1294,327
350,174.2280,0.1296,366
351,240.3692,0.1298,364
352,201.8599,0.1301,405
353,226.0264,0.1303,400
354,267.7980,0.1305,332
355,158.3661,0.1307,414
356,256.1297,0.1310,449
357,75.7519,0.1322,1000
358,268.2700,0.1324,405
359,85.8696,0.1335,1000
360,-45.1547,0.1337,335
361,164.7414,0.1340,467
362,93.9396,0.1348,1000
363,-96.9888,0.1350,389
364,219.2461,0.1353,379
365,232.1289,0.1356,365
366,238.9334,0.1358,388
367,92.6309,0.1368,1000
368,209.3010,0.1371,393
369,4.2379,0.1373,358
370,-8.8087,0.1374,288
371,244.6799,0.1377,403
372,229.0678,0.1379,366
373,194.6854,0.1382,397
374,235.3766,0.1384,369
375,228.0479,0.1386,396
376,203.3213,0.1389,411
377,-36.2454,0.1390,234
378,-74.0636,0.1392,265
379,112.8646,0.1399,1000
380,192.9713,0.1402,400
381,-16.5858,0.1404,305
382,277.3449,0.1406,376
383,16.5643,0.1407,272
384,-32.6611,0.1409,345
385,77.8229,0.1419,1000
386,227.3168,0.1421,331
387,248.7853,0.1423,355
388,210.3811,0.1427,466
389,230.9084,0.1429,349
390,192.7167,0.1431,366
391,172.4764,0.1433,364
392,163.3884,0.1436,380
393,-9.7815,0.1437,292
394,238.2030,0.1439,337
395,190.6937,0.1442,381
396,-95.4631,0.1444,333
397,88.7470,0.1454,1000
398,199.7841,0.1456,406
399,164.8186,0.1459,404
400,-26.1693,0.1461,258
401,250.3605,0.1463,395
402,205.3353,0.1465,375
403,216.8004,0.1468,368
404,201.8507,0.1471,425
405,95.4291,0.1483,1000
406,-2.6755,0.1484,249
407,244.6023,0.1486,346
408,96.8124,0.1496,1000
409,217.1420,0.1504,972
410,-7.7511,0.1505,253
411,123.8194,0.1515,1000
412,215.2703,0.1517,342
413,-54.5461,0.1518,272
414,213.6208,0.1528,926
415,-14.9206,0.1529,298
416,205.4518,0.1534,606
417,219.0932,0.1536,314
418,-15.3611,0.1537,289
419,224.5565,0.1539,340
420,189.4163,0.1546,740
421,-58.1890,0.1547,289
422,-54.9557,0.1549,297
423,230.4572,0.1551,336
424,221.2059,0.1553,369
425,0.5300,0.1555,298
426,205.1329,0.1558,386
427,214.7792,0.1559,351
428,3.1601,0.1561,276
429,219.0055,0.1563,348
430,-67.2930,0.1565,352
431,250.7059,0.1567,356
432,204.8837,0.1569,336
433,151.0972,0.1574,590
434,235.8445,0.1576,342
435,105.6941,0.1584,1000
436,190.8799,0.1589,740
437,-42.0950,0.1591,252
438,-13.5896,0.1592,217
439,191.9429,0.1595,529
440,-1.5083,0.1596,238
441,222.2498,0.1598,322
442,-73.3876,0.1600,259
443,-38.9088,0.1601,252
444,207.9478,0.1602,277
445,-3.0540,0.1603,238
446,-21.9703,0.1605,303
447,196.4436,0.1609,461
448,-19.4217,0.1610,267
449,192.1098,0.1612,358
450,191.5229,0.1614,313
451,185.1828,0.1622,719
452,205.1194,0.1625,378
453,83.9819,0.1631,1000
454,180.9581,0.1633,468
