episode,reward,time_seconds,steps
1,-87.5205,0.0006,67
2,-61.4448,0.0006,67
3,-101.2799,0.0006,78
4,-427.4656,0.0007,91
5,-29.7119,0.0007,92
6,-107.8912,0.0007,94
7,-320.5622,0.0007,101
8,-103.1626,0.0007,63
9,-119.7504,0.0007,142
10,-270.3412,0.0007,87
11,-117.4408,0.0007,64
12,-425.1981,0.0007,113
13,-157.8954,0.0007,115
14,-251.9083,0.0007,115
15,-182.4826,0.0007,109
16,-80.4647,0.0007,91
17,-327.7771,0.0007,88
18,-77.8570,0.0007,117
19,-117.1213,0.0008,67
20,-190.8843,0.0008,120
21,-149.8192,0.0008,73
22,-251.6858,0.0008,64
23,-159.3423,0.0008,100
24,-239.2897,0.0008,100
25,-313.4021,0.0008,84
26,-198.0308,0.0008,86
27,-213.5322,0.0008,110
28,-74.4266,0.0008,87
29,-108.6796,0.0008,61
30,-118.2548,0.0008,78
31,-248.5356,0.0008,90
32,-406.4249,0.0008,118
33,-120.7628,0.0008,90
34,-229.7112,0.0009,75
35,-76.2072,0.0009,69
36,-133.8439,0.0009,84
37,-278.8809,0.0009,101
38,-265.0728,0.0009,88
39,-153.3885,0.0009,98
40,-240.2864,0.0009,104
41,-114.4948,0.0009,72
42,-307.4044,0.0009,97
43,-120.7108,0.0009,66
44,-248.1926,0.0009,128
45,-97.6963,0.0010,119
46,-134.3481,0.0010,93
47,-154.4813,0.0010,78
48,-303.4326,0.0010,94
49,-63.7160,0.0010,86
50,-217.1281,0.0010,79
51,-215.4317,0.0010,120
52,-96.0895,0.0010,66
53,-158.0820,0.0010,125
54,-85.9415,0.0010,84
55,-220.4112,0.0010,72
56,-165.7201,0.0010,102
57,-119.2436,0.0011,123
58,-81.3318,0.0011,109
59,-122.4040,0.0011,73
60,-312.9868,0.0011,102
61,-157.7869,0.0011,75
62,-105.1738,0.0011,117
63,-313.2039,0.0011,90
64,-249.7887,0.0011,91
65,-105.9992,0.0011,72
66,-153.3703,0.0011,95
67,-50.2565,0.0011,69
68,-308.6522,0.0011,101
69,-95.5654,0.0011,117
70,-366.0856,0.0011,90
71,-398.1975,0.0012,96
72,-192.9032,0.0012,103
73,-139.3794,0.0012,124
74,-122.5430,0.0012,70
75,-116.1385,0.0012,64
76,-118.8874,0.0012,102
77,-265.7644,0.0012,113
78,-302.4726,0.0012,81
79,-221.3540,0.0012,118
80,-108.5228,0.0012,71
81,-296.1785,0.0012,104
82,-338.7861,0.0012,127
83,-50.1297,0.0012,68
84,-172.9508,0.0012,122
85,-88.6474,0.0012,125
86,-74.5150,0.0013,83
87,-87.1228,0.0013,96
88,-97.1928,0.0013,80
89,-49.8490,0.0013,123
90,-377.8032,0.0013,111
91,-174.4821,0.0013,103
92,-458.5889,0.0013,96
93,-331.0532,0.0013,86
94,-95.7146,0.0013,66
95,-54.5568,0.0013,61
96,-134.5241,0.0013,143
