DateTime,Humidity,Temperature,Temperature_range (low),Temperature_range (high)
09/10/2016 00:00,54,23.93,21,22.8
10/10/2016 00:00,52,23.77,20.4,23.6
11/10/2016 00:00,51,23.36,19.9,23
12/10/2016 00:00,51,23.44,20,23.6
13/10/2016 00:00,52,23.22,20.1,22.3
14/10/2016 00:00,52,23.02,19.6,22.6
15/10/2016 00:00,53,23.4,20.3,22.5
16/10/2016 00:00,53,23.43,20,23
17/10/2016 00:00,53,23.67,20.5,22.7
18/10/2016 00:00,54,23.75,20.6,23.1
19/10/2016 00:00,53,23.22,20.2,22.7
20/10/2016 00:00,52,23.25,20.2,22.8
21/10/2016 00:00,50,23.09,19.4,23.1
22/10/2016 00:00,49,22.86,19.5,22.5
23/10/2016 00:00,49,22.51,19,22.2
24/10/2016 00:00,49,22.38,19.1,22.3
25/10/2016 00:00,50,22.8,19.7,22.3
26/10/2016 00:00,50,23.14,20,22.8
27/10/2016 00:00,50,23.15,20.1,22.5
28/10/2016 00:00,51,23.57,20.6,22.8
29/10/2016 00:00,52,23.79,21,22.9
30/10/2016 00:00,52,23.88,21,22.9
31/10/2016 00:00,53,23.72,20.7,22.8
01/11/2016 00:00,52,23.53,20.2,23
02/11/2016 00:00,50,23.11,19.8,22.6
03/11/2016 00:00,49,22.31,18.7,22.4
04/11/2016 00:00,50,22.76,19.4,23.1
05/11/2016 00:00,50,22.14,18.5,22.4
06/11/2016 00:00,50,21.4,17.5,22.3
07/11/2016 00:00,48,21.58,17.8,22.3
08/11/2016 00:00,47,21.31,17.6,22
09/11/2016 00:00,48,21.78,18.3,22
10/11/2016 00:00,47,22.3,19,22.3
11/11/2016 00:00,47,22.28,18.9,22.6
12/11/2016 00:00,47,22.83,19.6,22.4
13/11/2016 00:00,48,23,20,22.6
14/11/2016 00:00,48,22.95,19.9,22.5
15/11/2016 00:00,49,23.64,20.8,22.6
16/11/2016 00:00,50,23.7,20.6,22.6
17/11/2016 00:00,49,22.98,19.7,22
18/11/2016 00:00,48,22.07,18.5,22
19/11/2016 00:00,47,21.35,17.5,21.8
20/11/2016 00:00,47,21.12,17.7,21.4
21/11/2016 00:00,47,21.43,17.8,21.8
22/11/2016 00:00,47,21.94,18.3,21.8
23/11/2016 00:00,47,21.96,18.2,22
24/11/2016 00:00,48,22.16,18.5,22
25/11/2016 00:00,49,21.83,18.4,21.6
26/11/2016 00:00,48,21.69,18.1,22.3
27/11/2016 00:00,48,21.39,17.6,21.5
28/11/2016 00:00,48,22.27,17.9,23.1
29/11/2016 00:00,47,20.72,16.3,22.4
30/11/2016 00:00,44,20.11,14.9,21.4
01/12/2016 00:00,41,20.04,15.6,19.7
02/12/2016 00:00,41,20.58,16.1,21.6
03/12/2016 00:00,42,20.86,17.5,21
04/12/2016 00:00,42,20.68,16.9,20.7
05/12/2016 00:00,42,20.83,16.8,21.3
06/12/2016 00:00,42,21.24,18,21.6
07/12/2016 00:00,45,22.16,19,22.1
08/12/2016 00:00,47,22.87,20,22
09/12/2016 00:00,48,23.18,20.4,22.2
10/12/2016 00:00,49,22.92,20.2,22
11/12/2016 00:00,49,21.99,19,21.6
12/12/2016 00:00,49,21.1,17.8,21.2
13/12/2016 00:00,49,21.85,18.7,21.8
14/12/2016 00:00,49,22.44,19.3,21.6
15/12/2016 00:00,50,22.48,19.2,22.3
16/12/2016 00:00,50,23.24,19.5,24.8
18/12/2016 00:00,48,25.57,19.8,25.2
19/12/2016 00:00,48,23.12,19.1,23
20/12/2016 00:00,47,22.16,18.2,22.1
21/12/2016 00:00,47,22.07,18.9,22.2
22/12/2016 00:00,47,21.56,17.6,21.7
23/12/2016 00:00,47,20.88,17.1,21.7
24/12/2016 00:00,47,21.15,17.3,21.7
25/12/2016 00:00,47,21.77,18.4,22
26/12/2016 00:00,48,21.61,17.8,21.7
27/12/2016 00:00,45,20.79,17.2,21.3
28/12/2016 00:00,43,20.48,16.1,21.2
29/12/2016 00:00,41,20.74,16.1,21.4
