dataset,x,y
1,32.33111023,61.41110125
1,53.42146288,26.18688039
1,63.92020226,30.83219392
1,70.28950572,82.53364859
1,34.11883024,45.73455132
1,67.6707164,37.11094797
1,53.25912941,97.4757711
1,63.51498087,25.10007858
1,67.98053881,80.95716522
1,67.3724659,29.7204002
1,15.56074952,80.06564029
1,71.79076769,71.06546666
1,70.24254644,24.10959755
1,64.93743554,81.55420499
1,62.21352455,21.475839
1,67.26940048,18.70896837
1,40.57019704,79.37296348
1,74.74118133,21.1016372
1,71.76831892,20.01106184
1,76.16691981,75.9361704
1,65.62365744,15.58280335
1,50.85063364,13.98760163
1,33.02407002,24.46783039
1,39.70632617,84.2752871
1,45.59648495,9.763348849
1,42.96804691,17.9454584
1,52.49440678,16.0511142
1,46.08227578,23.11045782
1,74.24770821,20.31418781
1,64.56826419,83.6396339
1,74.02169391,76.12827451
1,62.39118056,5.623070761
1,74.18903668,68.13358322
1,28.23678194,56.13959645
1,75.77193879,69.82923003
1,75.85522947,62.51704429
1,65.97085702,72.744856
1,21.77804048,6.616625307
1,67.75979625,72.42120153
1,78.61719534,52.57525731
1,68.50770819,15.45691897
1,74.88502116,25.41660632
1,66.45490366,19.83662865
1,77.3178021,48.39834644
1,58.91246032,75.66775622
1,57.61744782,8.194800603
1,76.0882258,59.67993002
1,57.46605055,1.504418175
1,79.42838349,45.21079429
1,76.35652215,10.41824113
1,64.40507526,78.58417608
1,40.63504181,73.39475037
1,43.94986459,75.95871567
1,30.99622058,71.69440494
1,68.23076899,80.87250166
1,72.04638946,12.91800673
1,46.59276797,84.97238278
1,49.25721834,81.88140323
1,42.78176125,12.99118843
1,65.4759522,14.27458564
1,71.96508265,17.71023594
1,32.14646234,43.48170944
1,31.8384977,71.81216539
1,31.00525826,40.68250301
1,80.47089432,49.50214835
1,71.96416711,41.87428267
1,78.07942144,93.13331677
1,41.67759577,30.20126408
1,65.95359519,31.14740608
1,62.93445937,31.9163907
1,64.37379798,28.86258341
1,72.50932836,39.54013025
1,30.05228987,96.61754235
1,28.00332424,46.67219195
1,75.40122686,88.63907662
1,38.98001542,87.32216069
1,65.21991355,84.68295493
1,73.05398996,29.38080856
1,34.39836164,59.5444469
1,43.49045013,40.78254207
1,55.13873797,30.72576036
1,43.68439343,32.82300987
1,35.90360973,91.11186308
1,45.37801888,29.16921665
1,39.77748287,43.75581895
1,38.66446116,33.31723848
1,39.04403669,84.67601083
1,91.63996144,79.40660306
1,47.48813268,85.38993338
1,44.59021258,22.03401164
1,39.08961455,70.46619408
1,42.22937838,19.91406841
1,37.00038714,60.26427925
1,39.05208648,70.65250285
1,37.48841474,60.81440485
1,69.35955946,65.5213546
1,43.54277593,62.46031128
1,39.81123025,65.33483281
1,70.06892594,7.593465609
1,70.04054358,77.1438066
